order_number,buyer_id,shop_id,sale_channel,order_datetime,sku,qty,sale_price,discount,payment_type
ORD0000001,C001829,DE_ONLINE,web,2024-02-29 08:00:00,SKU0076,4,-321.52,0,credit_card
ORD0000002,C004598,DE_ONLINE,google,2024-10-13 09:00:00,SKU0029,4,51.38,20,klarna
ORD0000003,C003463,AT_ONLINE,app,2024-04-16 03:00:00,SKU0028,3,-405.67,0,credit_card
ORD0000004,C002167,DE_ONLINE,instagram,2024-03-26 05:00:00,SKU0049,1,193.06,20,klarna
ORD0000005,C004730,DE_ONLINE,web,2024-02-01 06:00:00,SKU0085,2,415.56,10,credit_card
ORD0000006,C003715,CH_ONLINE,app,2024-04-21 00:00:00,SKU0048,3,428.38,5,klarna
ORD0000007,C001402,CH_ONLINE,mobile,2024-04-21 13:00:00,SKU0060,4,352.4,10,sepa
ORD0000008,C000459,DE_ONLINE,web,2024-08-03 08:00:00,SKU0052,3,113.71,0,paypal
ORD0000009,C001742,CH_ONLINE,instagram,2024-09-27 02:00:00,SKU0083,4,457.0,5,klarna
ORD0000010,C004789,AT_ONLINE,google,2024-09-29 15:00:00,SKU0047,2,74.12,5,sepa
ORD0000011,C001253,CH_ONLINE,mobile,2024-10-15 04:00:00,SKU0077,1,249.29,15,apple_pay
ORD0000012,C004533,DE_ONLINE,web,2024-07-01 03:00:00,SKU0099,3,299.96,0,klarna
ORD0000013,C002158,CH_ONLINE,mobile,2024-12-12 13:00:00,SKU0014,3,220.21,20,sepa
ORD0000014,C004345,DE_ONLINE,google,2024-08-09 06:00:00,SKU0063,1,103.46,0,klarna
ORD0000015,C000475,DE_ONLINE,google,2024-02-23 18:00:00,SKU0011,4,439.97,0,sepa
ORD0000016,C004504,DE_ONLINE,app,2024-12-26 05:00:00,SKU0078,4,384.09,5,sepa
ORD0000017,C003269,CH_ONLINE,app,2024-10-26 01:00:00,SKU0067,4,378.86,0,paypal
ORD0000018,C001886,CH_ONLINE,mobile,2024-01-05 21:00:00,SKU0010,1,116.23,5,credit_card
ORD0000019,C001950,AT_ONLINE,instagram,2024-05-26 06:00:00,SKU0070,2,453.18,20,sepa
ORD0000020,C001560,DE_ONLINE,web,2024-10-21 06:00:00,SKU0046,4,238.97,15,apple_pay
ORD0000021,C000807,DE_ONLINE,instagram,2024-08-19 15:00:00,SKU0014,2,432.6,5,paypal
ORD0000022,C003790,DE_ONLINE,web,2024-10-29 12:00:00,SKU0071,1,270.46,0,sepa
ORD0000023,C001937,DE_ONLINE,instagram,2024-11-27 12:00:00,SKU0062,2,418.83,15,credit_card
ORD0000024,C003728,AT_ONLINE,instagram,2024-11-28 05:00:00,SKU0020,2,-86.5,10,paypal
ORD0000025,C002570,DE_ONLINE,web,2024-11-21 11:00:00,SKU0065,5,484.51,5,credit_card
ORD0000026,C004875,DE_ONLINE,mobile,2024-10-02 15:00:00,SKU0016,5,480.59,5,sepa
ORD0000027,C004782,CH_ONLINE,google,2024-08-03 23:00:00,SKU0034,2,299.29,10,paypal
ORD0000028,C003746,AT_ONLINE,web,2024-01-07 08:00:00,SKU0059,5,136.48,20,credit_card
ORD0000029,C002860,DE_ONLINE,mobile,2024-09-09 06:00:00,SKU0037,2,41.26,15,sepa
ORD0000030,C004334,DE_ONLINE,google,2024-07-23 09:00:00,SKU0085,1,353.25,5,klarna
ORD0000031,C002232,AT_ONLINE,google,2024-05-23 18:00:00,SKU0092,3,62.14,5,klarna
ORD0000032,C000417,DE_ONLINE,instagram,2024-07-07 21:00:00,SKU0006,1,255.18,10,paypal
ORD0000033,C004520,CH_ONLINE,instagram,2024-01-07 14:00:00,SKU0015,1,320.37,5,sepa
