product_code,item_name,main_category,sub_category,brand_name,purchase_cost,retail_price,available
P00001,ZenTech Shoes 882,Clothing,Shoes,ZenTech,€106.37,€317.53,Yes
P00002,PureHome Trousers 553,Clothing,Trousers,PureHome,€97.79,€142.54,No
P00003,AlphaGear Swimwear 823,Sports,Swimwear,NordStyle,€258.81,€565.85,No
P00004,ZenTech Shoes 682,Clothing,Shoes,PureHome,€119.78,€294.19,no
P00005,ZenTech Shoes 500,Clothing,Shoes,AlphaGear,€257.03,€563.28,no
P00006,AlphaGear Swimwear 428,Sports,Swimwear,ZenTech,€109.07,€157.61,Yes
P00007,ZenTech Laptops 883,Electronics,Laptops,AlphaGear,€107.92,€216.8,no
P00008,ZenTech Trousers 777,Clothing,Trousers,NordStyle,€126.52,€227.25,yes
P00009,ZenTech Gym Equipment 989,Sports,Gym Equipment,AlphaGear,€273.56,€433.09,No
P00010,PureHome Headphones 773,Electronics,Headphones,PureHome,€101.2,€233.66,no
P00011,ZenTech Shirts 424,Clothing,Shirts,PureHome,€210.31,€486.36,yes
P00012,ZenTech Gym Equipment 807,Sports,Gym Equipment,NordStyle,€243.46,€471.72,yes
P00013,PureHome Headphones 306,Electronics,Headphones,PureHome,€93.36,€225.62,Yes
P00014,ZenTech Gym Equipment 404,Sports,Gym Equipment,PureHome,€89.77,€241.24,Yes
P00015,AlphaGear Swimwear 379,Sports,Swimwear,ZenTech,€32.95,€75.99,no
P00016,ZenTech Shirts 767,Clothing,Shirts,AlphaGear,€107.46,€237.21,yes
P00017,NordStyle Shoes 524,Clothing,Shoes,PureHome,€164.28,€296.04,no
P00018,ZenTech Swimwear 742,Sports,Swimwear,NordStyle,€58.28,€135.38,No
P00019,AlphaGear Swimwear 753,Sports,Swimwear,PureHome,€281.74,€815.75,Yes
P00020,NordStyle Gym Equipment 346,Sports,Gym Equipment,NordStyle,€112.46,€291.75,yes
P00021,ZenTech Trousers 749,Clothing,Trousers,NordStyle,€99.0,€272.6,yes
P00022,NordStyle Shoes 515,Clothing,Shoes,NordStyle,€52.37,€82.83,No
P00023,AlphaGear Smartphones 575,Electronics,Smartphones,PureHome,€240.13,€551.27,no
P00024,NordStyle Shoes 263,Clothing,Shoes,AlphaGear,€272.17,€440.45,yes
